City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,mount gambier,-37.8333,140.7667,16.18,59,0,7.01,AU,1726620219
294,nemuro,43.3236,145.575,19.6,68,0,3.47,JP,1726620042
295,yanam,16.7333,82.2167,24.72,85,2,1.58,IN,1726620219
296,kainantu,-6.2887,145.8655,21.56,76,100,2.27,PG,1726620219
297,thinadhoo,0.5333,72.9333,28.79,75,100,5.41,MV,1726620219
298,cabo san lucas,22.8909,-109.9124,28.17,59,0,7.2,MX,1726620067
299,tuyen quang,21.8233,105.2181,26.01,91,100,1.33,VN,1726620219
300,labytnangi,66.6572,66.4183,12.28,88,100,4.99,RU,1726620219
301,krasnogvardeyskoye,45.8456,41.5186,16.28,65,80,7.6,RU,1726620219
302,mesyagutovo,55.5303,58.2528,7.76,69,13,2.06,RU,1726620219
303,al bawiti,28.3492,28.8659,23.73,52,0,2.65,EG,1726620219
304,parakou,9.3372,2.6303,21.77,99,100,1.2,BJ,1726620219
305,ust'-barguzin,53.45,108.9833,5.47,75,88,1.62,RU,1726620201
306,pitimbu,-7.4706,-34.8086,24.4,79,5,4.89,BR,1726620219
307,kwekwe,-18.9281,29.8149,16.04,48,0,2.38,ZW,1726620219
308,chicacao,14.5333,-91.3167,24.0,96,43,1.13,GT,1726620220
309,oppdal,62.5943,9.6912,10.18,76,49,2.46,NO,1726620220
310,sungai penuh,-2.0833,101.3833,18.39,94,100,0.46,ID,1726620154
311,zambezi,-13.5432,23.1047,18.87,24,19,2.22,ZM,1726620220
312,saudarkrokur,65.7461,-19.6394,6.39,96,100,2.58,IS,1726620220
313,kalmunai,7.4167,81.8167,27.13,75,1,2.12,LK,1726620221
314,dudinka,69.4058,86.1778,2.33,79,100,1.67,RU,1726620221
315,shizunai-furukawacho,42.3339,142.3669,20.8,70,0,4.33,JP,1726620221
316,kirensk,57.7853,108.1119,3.02,93,100,5.51,RU,1726620221
317,brisas de zicatela,15.8369,-97.0419,29.29,79,75,2.57,MX,1726620221
318,casper,42.8666,-106.3131,14.92,54,75,7.2,US,1726620221
319,batyrevo,55.0675,47.6111,13.53,60,85,0.41,RU,1726620221
320,rongelap,11.1635,166.8941,28.63,75,19,4.18,MH,1726620221
321,mogadishu,2.0371,45.3438,25.21,88,20,6.53,SO,1726620085
322,puerto asis,0.5133,-76.5007,26.22,73,98,0.39,CO,1726620221
323,harstad,68.799,16.5293,11.2,96,100,8.05,NO,1726620221
324,i-n-salah,27.1935,2.4607,33.69,22,24,0.89,DZ,1726620221
325,alo,6.5486,4.2686,24.37,92,100,2.97,NG,1726620221
326,rio grande,-32.035,-52.0986,15.42,89,99,6.4,BR,1726620221
327,ciudad bolivar,8.1222,-63.5497,30.31,66,56,1.97,VE,1726620221
328,chernyshevskiy,63.0128,112.4714,1.96,86,100,2.66,RU,1726620221
329,dolores,-36.3132,-57.6792,12.76,85,100,3.36,AR,1726620222
330,tazovsky,67.4667,78.7,7.48,79,100,4.93,RU,1726620222
331,nanao,37.05,136.9667,27.39,71,41,0.97,JP,1726619954
332,kailua-kona,19.6406,-155.9956,27.38,94,80,0.45,US,1726620222
333,wuhai,39.6647,106.8122,22.23,72,8,0.86,CN,1726620222
334,nhamunda,-2.1861,-56.7131,28.82,44,25,1.73,BR,1726620222
335,kuqa,41.7278,82.9364,22.01,31,0,2.32,CN,1726620222
336,tabuk,17.4189,121.4443,27.18,80,18,1.7,PH,1726620222
337,hami,42.8,93.45,23.93,18,2,1.51,CN,1726620174
338,forster,-32.1667,152.5167,21.88,42,0,2.21,AU,1726620222
